similarity,combination
2,['flop.sol', 'vow.t.sol', 'join.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'vow.sol', 'flip.t.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'vow.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
3,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'dai.t.sol']
3,['flop.sol', 'vow.t.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
3,['flop.sol', 'vow.t.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
3,['flop.sol', 'vow.t.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
3,['flop.sol', 'vow.t.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
1,['flop.sol', 'vow.t.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'vow.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
3,['flop.sol', 'vow.t.sol', 'flip.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'dai.t.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'vow.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
3,['flop.sol', 'join.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
3,['flop.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol']
2,['vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'dai.t.sol']
3,['vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'flap.sol', 'dai.t.sol']
2,['vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
3,['vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
3,['vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
1,['vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
3,['vow.t.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['vow.t.sol', 'join.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
3,['vow.t.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
3,['join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
