similarity,combination
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'Sale.sol']
11,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'Ledger.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Finalizable.sol', 'DummyToken.sol', 'Sale.sol']
7,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Finalizable.sol', 'DummyToken.sol', 'Ledger.sol']
7,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Finalizable.sol', 'Sale.sol', 'Ledger.sol']
2,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'EventDefinitions.sol', 'DummyToken.sol', 'Sale.sol']
7,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'EventDefinitions.sol', 'DummyToken.sol', 'Ledger.sol']
15,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'EventDefinitions.sol', 'Sale.sol', 'Ledger.sol']
10,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'DummyToken.sol', 'Sale.sol', 'Ledger.sol']
3,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'TokenReceivable.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'DummyToken.sol', 'Sale.sol']
7,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'TokenReceivable.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'DummyToken.sol', 'Ledger.sol']
15,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'TokenReceivable.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'Sale.sol', 'Ledger.sol']
11,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'TokenReceivable.sol', 'Finalizable.sol', 'DummyToken.sol', 'Sale.sol', 'Ledger.sol']
12,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'TokenReceivable.sol', 'EventDefinitions.sol', 'DummyToken.sol', 'Sale.sol', 'Ledger.sol']
3,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'SafeMath.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'DummyToken.sol', 'Sale.sol']
7,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'SafeMath.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'DummyToken.sol', 'Ledger.sol']
7,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'SafeMath.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'Sale.sol', 'Ledger.sol']
7,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'SafeMath.sol', 'Finalizable.sol', 'DummyToken.sol', 'Sale.sol', 'Ledger.sol']
7,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'SafeMath.sol', 'EventDefinitions.sol', 'DummyToken.sol', 'Sale.sol', 'Ledger.sol']
7,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'DummyToken.sol', 'Sale.sol', 'Ledger.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'Receiver.sol', 'TokenReceivable.sol', 'SafeMath.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'Receiver.sol', 'TokenReceivable.sol', 'Finalizable.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'Receiver.sol', 'TokenReceivable.sol', 'EventDefinitions.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'Receiver.sol', 'TokenReceivable.sol', 'DummyToken.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'Receiver.sol', 'TokenReceivable.sol', 'Sale.sol']
8,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'Receiver.sol', 'TokenReceivable.sol', 'Ledger.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'Receiver.sol', 'SafeMath.sol', 'Finalizable.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'Receiver.sol', 'SafeMath.sol', 'EventDefinitions.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'Receiver.sol', 'SafeMath.sol', 'DummyToken.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'Receiver.sol', 'SafeMath.sol', 'Sale.sol']
7,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'Receiver.sol', 'SafeMath.sol', 'Ledger.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'Receiver.sol', 'Finalizable.sol', 'EventDefinitions.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'Receiver.sol', 'Finalizable.sol', 'DummyToken.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'Receiver.sol', 'Finalizable.sol', 'Sale.sol']
8,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'Receiver.sol', 'Finalizable.sol', 'Ledger.sol']
2,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'Receiver.sol', 'EventDefinitions.sol', 'DummyToken.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'Receiver.sol', 'EventDefinitions.sol', 'Sale.sol']
7,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'Receiver.sol', 'EventDefinitions.sol', 'Ledger.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'Receiver.sol', 'DummyToken.sol', 'Sale.sol']
6,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'Receiver.sol', 'DummyToken.sol', 'Ledger.sol']
6,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'Receiver.sol', 'Sale.sol', 'Ledger.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Finalizable.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'EventDefinitions.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'DummyToken.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Sale.sol']
7,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Ledger.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Finalizable.sol', 'EventDefinitions.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Finalizable.sol', 'DummyToken.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Finalizable.sol', 'Sale.sol']
9,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Finalizable.sol', 'Ledger.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'TokenReceivable.sol', 'EventDefinitions.sol', 'DummyToken.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'TokenReceivable.sol', 'EventDefinitions.sol', 'Sale.sol']
15,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'TokenReceivable.sol', 'EventDefinitions.sol', 'Ledger.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'TokenReceivable.sol', 'DummyToken.sol', 'Sale.sol']
13,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'TokenReceivable.sol', 'DummyToken.sol', 'Ledger.sol']
6,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Sale.sol', 'Ledger.sol']
6,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'SafeMath.sol', 'Finalizable.sol', 'EventDefinitions.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'SafeMath.sol', 'Finalizable.sol', 'DummyToken.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'SafeMath.sol', 'Finalizable.sol', 'Sale.sol']
8,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'SafeMath.sol', 'Finalizable.sol', 'Ledger.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'SafeMath.sol', 'EventDefinitions.sol', 'DummyToken.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'SafeMath.sol', 'EventDefinitions.sol', 'Sale.sol']
10,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'SafeMath.sol', 'EventDefinitions.sol', 'Ledger.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'SafeMath.sol', 'DummyToken.sol', 'Sale.sol']
7,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'SafeMath.sol', 'DummyToken.sol', 'Ledger.sol']
7,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'SafeMath.sol', 'Sale.sol', 'Ledger.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'DummyToken.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'Sale.sol']
10,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'Ledger.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'Finalizable.sol', 'DummyToken.sol', 'Sale.sol']
7,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'Finalizable.sol', 'DummyToken.sol', 'Ledger.sol']
6,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'Finalizable.sol', 'Sale.sol', 'Ledger.sol']
2,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'EventDefinitions.sol', 'DummyToken.sol', 'Sale.sol']
9,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'EventDefinitions.sol', 'DummyToken.sol', 'Ledger.sol']
6,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'EventDefinitions.sol', 'Sale.sol', 'Ledger.sol']
6,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'DummyToken.sol', 'Sale.sol', 'Ledger.sol']
6,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Finalizable.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'EventDefinitions.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'DummyToken.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Sale.sol']
8,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Ledger.sol']
6,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'TokenReceivable.sol', 'Finalizable.sol', 'EventDefinitions.sol']
6,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'TokenReceivable.sol', 'Finalizable.sol', 'DummyToken.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'TokenReceivable.sol', 'Finalizable.sol', 'Sale.sol']
9,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'TokenReceivable.sol', 'Finalizable.sol', 'Ledger.sol']
3,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'TokenReceivable.sol', 'EventDefinitions.sol', 'DummyToken.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'TokenReceivable.sol', 'EventDefinitions.sol', 'Sale.sol']
14,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'TokenReceivable.sol', 'EventDefinitions.sol', 'Ledger.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'TokenReceivable.sol', 'DummyToken.sol', 'Sale.sol']
12,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'TokenReceivable.sol', 'DummyToken.sol', 'Ledger.sol']
11,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'TokenReceivable.sol', 'Sale.sol', 'Ledger.sol']
6,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'SafeMath.sol', 'Finalizable.sol', 'EventDefinitions.sol']
6,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'SafeMath.sol', 'Finalizable.sol', 'DummyToken.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'SafeMath.sol', 'Finalizable.sol', 'Sale.sol']
9,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'SafeMath.sol', 'Finalizable.sol', 'Ledger.sol']
2,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'SafeMath.sol', 'EventDefinitions.sol', 'DummyToken.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'SafeMath.sol', 'EventDefinitions.sol', 'Sale.sol']
7,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'SafeMath.sol', 'EventDefinitions.sol', 'Ledger.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'SafeMath.sol', 'DummyToken.sol', 'Sale.sol']
7,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'SafeMath.sol', 'DummyToken.sol', 'Ledger.sol']
6,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'SafeMath.sol', 'Sale.sol', 'Ledger.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'DummyToken.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'Sale.sol']
8,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'Ledger.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'Finalizable.sol', 'DummyToken.sol', 'Sale.sol']
7,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'Finalizable.sol', 'DummyToken.sol', 'Ledger.sol']
6,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'Finalizable.sol', 'Sale.sol', 'Ledger.sol']
2,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'EventDefinitions.sol', 'DummyToken.sol', 'Sale.sol']
7,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'EventDefinitions.sol', 'DummyToken.sol', 'Ledger.sol']
6,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'EventDefinitions.sol', 'Sale.sol', 'Ledger.sol']
6,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'Receiver.sol', 'DummyToken.sol', 'Sale.sol', 'Ledger.sol']
6,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Finalizable.sol', 'EventDefinitions.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Finalizable.sol', 'DummyToken.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Finalizable.sol', 'Sale.sol']
9,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Finalizable.sol', 'Ledger.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'EventDefinitions.sol', 'DummyToken.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'EventDefinitions.sol', 'Sale.sol']
21,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'EventDefinitions.sol', 'Ledger.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'DummyToken.sol', 'Sale.sol']
13,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'DummyToken.sol', 'Ledger.sol']
7,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Sale.sol', 'Ledger.sol']
6,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'TokenReceivable.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'DummyToken.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'TokenReceivable.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'Sale.sol']
24,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'TokenReceivable.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'Ledger.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'TokenReceivable.sol', 'Finalizable.sol', 'DummyToken.sol', 'Sale.sol']
13,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'TokenReceivable.sol', 'Finalizable.sol', 'DummyToken.sol', 'Ledger.sol']
